City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,9.25,76,75,7.2,CL,1738844080
1,papatowai,-46.5619,169.4708,9.14,89,17,2.9,NZ,1738844081
2,hasaki,35.7333,140.8333,6.56,31,21,3.92,JP,1738844082
3,san patricio,28.017,-97.5169,20.97,94,31,4.99,US,1738844083
4,albany,42.6001,-73.9662,-6.88,80,100,4.44,US,1738844084
5,stanley,54.868,-1.6985,6.01,79,0,1.03,GB,1738843994
6,adamstown,-25.066,-130.1015,24.62,79,2,4.85,PN,1738844086
7,puerto ayora,-0.7393,-90.3518,22.53,98,11,0.8,EC,1738844088
8,douglas,41.3,-96.167,-5.38,81,0,4.12,US,1738843871
9,port-aux-francais,-49.35,70.2167,8.63,93,100,19.43,TF,1738844091
10,waitangi,-43.9535,-176.5597,12.12,81,100,0.89,NZ,1738844092
11,la gi,10.6667,107.7833,22.42,79,27,5.27,VN,1738844093
12,ushuaia,-54.8,-68.3,7.51,90,100,1.09,AR,1738843961
13,grytviken,-54.2811,-36.5092,2.74,88,43,1.95,GS,1738844096
14,udachny,66.4167,112.4,-19.78,100,99,1.67,RU,1738844097
15,holualoa,19.6228,-155.9522,18.24,73,8,0.89,US,1738844099
16,wailua homesteads,22.0669,-159.378,17.44,94,20,3.6,US,1738844100
17,east london,-33.0153,27.9116,20.47,87,100,6.26,ZA,1738844101
18,ballina,-28.8667,153.5667,23.58,78,5,3.42,AU,1738844102
19,ciudad guadalupe victoria,24.4497,-104.1225,9.57,36,0,1.18,MX,1738844103
20,alotau,-10.3069,150.4462,26.52,85,100,2.58,PG,1738844105
21,tiksi,71.6872,128.8694,-30.36,97,47,3.38,RU,1738844106
22,greenville,35.6127,-77.3663,4.01,98,100,3.09,US,1738844107
23,luorong,24.4058,109.6086,9.45,85,100,3.4,CN,1738844108
24,syktyvkar,61.6764,50.8099,-5.15,93,100,2.0,RU,1738843839
25,port mathurin,-19.6833,63.4167,28.07,76,16,4.38,MU,1738844110
26,luis correia,-2.8792,-41.6669,29.0,79,75,2.57,BR,1738844112
27,port lincoln,-34.7333,135.8667,18.45,83,48,7.91,AU,1738844113
28,arraial do cabo,-22.9661,-42.0278,28.92,61,0,7.72,BR,1738843930
29,chaoyang,41.5703,120.4586,-13.41,60,33,7.46,CN,1738843994
30,iqaluit,63.7506,-68.5145,-32.95,74,29,1.34,CA,1738844116
31,bredasdorp,-34.5322,20.0403,23.67,47,61,6.66,ZA,1738844117
32,thompson,55.7435,-97.8558,-17.27,96,100,2.53,CA,1738844118
33,bethel,41.3712,-73.414,-2.83,85,100,1.54,US,1738844020
34,lihue,21.9789,-159.3672,17.77,94,20,3.6,US,1738844120
35,joshimath,30.5667,79.5667,5.22,23,0,1.99,IN,1738844121
36,bilibino,68.0546,166.4372,-43.81,97,46,0.81,RU,1738844122
37,hermanus,-34.4187,19.2345,24.89,51,4,10.06,ZA,1738844123
38,kimbe,-5.5502,150.1429,25.61,89,100,0.64,PG,1738844124
39,blackmans bay,-43.0167,147.3167,16.07,83,79,0.45,AU,1738844125
40,herkimer,43.0256,-74.986,-8.9,48,100,1.34,US,1738844127
41,thaton,16.9206,97.3714,23.54,61,14,2.56,MM,1738844128
42,invercargill,-46.4,168.35,8.9,89,19,0.45,NZ,1738844129
43,perryton,36.4,-100.8027,3.96,48,0,4.63,US,1738844130
44,gao,16.6362,1.637,33.39,10,88,5.4,ML,1738844131
45,olonkinbyen,70.9221,-8.7187,-2.88,79,84,13.16,SJ,1738844133
46,hammerfest,70.6634,23.6821,2.25,69,75,11.32,NO,1738844134
47,biltine,14.5333,20.9167,34.66,7,4,3.83,TD,1738844135
48,criciuma,-28.6775,-49.3697,31.53,52,23,1.64,BR,1738844136
49,novodvinsk,64.4165,40.8122,-4.14,91,100,3.9,RU,1738844137
50,teploye,53.6202,37.5903,-0.66,72,100,2.56,RU,1738844138
51,aral,40.5156,81.2636,-1.82,54,100,1.59,CN,1738844139
52,rosarito,32.3333,-117.0333,12.41,89,18,0.88,MX,1738844140
53,lodja,-3.4833,23.4333,27.86,64,100,0.37,CD,1738844141
54,sergeyevka,53.88,67.4158,-14.6,93,40,3.51,KZ,1738844142
55,didwana,27.4,74.5667,21.5,12,0,3.26,IN,1738844143
56,grafton,42.207,-71.6856,-5.97,73,100,0.45,US,1738844144
57,sidi okba,34.7451,5.8983,17.34,36,72,1.76,DZ,1738844146
58,isla del bosque,22.7333,-105.85,17.64,58,0,1.66,MX,1738844147
59,howard springs,-12.497,131.047,28.95,86,100,2.82,AU,1738844148
60,nabire,-3.3667,135.4833,25.51,85,58,0.92,ID,1738844149
61,kudat,6.8837,116.8477,25.72,94,86,1.34,MY,1738844150
62,isafjordur,66.0755,-23.124,0.02,93,100,1.54,IS,1738844151
63,port elizabeth,-33.918,25.5701,21.29,81,100,5.36,ZA,1738843918
64,kone,-21.0595,164.8658,25.0,94,99,1.87,NC,1738844154
65,berezovyy,51.6667,135.7,-10.96,93,100,5.72,RU,1738843938
66,ta`u,-14.2336,-169.5144,28.46,68,20,3.73,AS,1738844156
67,tura,25.5198,90.2201,19.85,40,2,0.61,IN,1738844157
68,san antonio de pale,-1.4014,5.6325,27.88,77,100,3.71,GQ,1738844158
69,kayyerkan,69.3786,87.7439,-18.37,97,100,2.48,RU,1738844159
70,badger,64.8,-147.5333,-8.07,79,100,1.54,US,1738844160
71,geraldton,-28.7667,114.6,24.23,78,100,6.17,AU,1738844044
72,abu ghurayb,33.3083,44.185,14.97,63,100,1.54,IQ,1738844162
73,barah,13.7,30.3667,31.21,9,30,7.78,SD,1738844163
74,eyl,7.9803,49.8164,27.57,60,21,8.43,SO,1738844164
75,tenenkou,14.4572,-4.9169,30.2,11,82,6.53,ML,1738844165
76,arroyo,41.6096,-4.7969,0.02,100,100,1.54,ES,1738844166
77,khandyga,62.6667,135.6,-39.77,100,31,0.5,RU,1738844168
78,punta arenas,-53.15,-70.9167,9.06,87,75,1.54,CL,1738844169
79,lospalos,-8.5186,127.0025,23.41,91,100,4.73,TL,1738844171
80,lautoka,-17.6167,177.4667,27.92,78,40,4.12,FJ,1738844172
81,igarka,67.4667,86.5833,-18.46,99,99,2.15,RU,1738844173
82,port alfred,-33.5906,26.891,22.88,77,100,2.68,ZA,1738844176
83,college,64.8569,-147.8028,-8.03,79,100,1.54,US,1738844177
84,anadyr,64.75,177.4833,-40.56,72,0,7.0,RU,1738844179
85,whitehorse,60.7161,-135.0538,-18.61,99,100,1.46,CA,1738844125
86,porto murtinho,-21.6989,-57.8825,29.23,60,70,4.33,BR,1738844181
87,mazagao,-0.115,-51.2894,25.5,89,94,1.43,BR,1738844182
88,kerikeri,-35.2268,173.9474,16.06,87,55,0.56,NZ,1738844183
89,ouallam,14.3188,2.0866,34.55,5,71,7.18,NE,1738844184
90,ancud,-41.8697,-73.8203,12.99,82,77,1.68,CL,1738844185
91,lanark,55.6737,-3.7817,5.18,86,4,1.55,GB,1738844187
92,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1738844188
93,st. john's,47.5649,-52.7093,-8.9,75,50,2.68,CA,1738844189
94,bam,29.106,58.357,20.63,11,100,5.67,IR,1738844190
95,carnarvon,-24.8667,113.6333,26.99,77,3,10.96,AU,1738844191
96,hithadhoo,-0.6,73.0833,27.73,69,100,3.04,MV,1738844192
97,fort bragg,35.139,-79.006,5.75,91,100,0.0,US,1738844193
98,noosa heads,-26.3833,153.15,24.46,76,69,5.42,AU,1738843978
99,klyuchi,52.2667,79.1667,-15.01,92,6,4.03,RU,1738844195
100,enewetak,11.3474,162.3373,27.7,70,91,7.7,MH,1738844196
101,weno,7.4515,151.8468,27.97,78,100,2.06,FM,1738844197
102,dunhua,43.3725,128.2425,-20.24,92,81,3.57,CN,1738844198
103,port hedland,-20.3167,118.5667,32.03,79,74,9.26,AU,1738844199
104,kodiak,57.79,-152.4072,2.73,60,0,7.2,US,1738844200
105,okhotsk,59.3833,143.3,-20.45,71,61,5.17,RU,1738844201
106,wote,-1.7808,37.6288,30.2,34,87,4.58,KE,1738844202
107,nogliki,51.8333,143.1667,-1.62,96,100,11.66,RU,1738844203
108,corner brook,48.9667,-57.9484,-8.76,88,99,5.53,CA,1738844204
109,panaba,21.2833,-88.2667,19.39,95,4,3.05,MX,1738844205
110,svetlyy yar,48.4748,44.781,0.7,60,17,6.82,RU,1738844206
111,antofagasta,-23.65,-70.4,22.6,76,95,0.93,CL,1738843988
112,ilulissat,69.2167,-51.1,-23.99,58,20,4.63,GL,1738844209
113,jamestown,42.097,-79.2353,0.57,96,100,6.69,US,1738844032
114,avarua,-21.2078,-159.775,25.03,100,40,1.54,CK,1738844211
115,idri,27.5,13.2667,19.89,29,2,7.19,LY,1738844212
116,miracema do tocantins,-9.5618,-48.3967,27.27,68,70,2.17,BR,1738844213
117,uturoa,-16.7333,-151.4333,27.18,78,39,5.11,PF,1738844214
118,leh,34.1667,77.5833,-18.87,75,56,0.71,IN,1738844215
119,margaret river,-33.95,115.0667,20.56,67,0,8.35,AU,1738844216
120,edinburgh of the seven seas,-37.0676,-12.3116,18.46,98,100,9.54,SH,1738844217
121,loen,7.7601,168.2307,27.16,80,51,9.6,MH,1738844218
122,gorom-gorom,14.4439,-0.2361,33.53,12,95,6.19,BF,1738844219
123,afaahiti,-17.75,-149.2833,26.12,80,69,5.71,PF,1738844220
124,colonia,50.9333,6.95,6.65,85,75,3.09,DE,1738844105
125,bikenibeu village,1.3673,173.1241,26.98,83,75,5.66,KI,1738844222
126,sabha,27.0377,14.4283,19.22,29,20,6.28,LY,1738844223
127,shorapur,16.5167,76.75,31.88,21,3,3.96,IN,1738844224
128,georgetown,5.4112,100.3354,31.96,48,20,3.13,MY,1738844093
129,san lorenzo cacaotepec,17.1333,-96.8,9.58,93,0,1.54,MX,1738844227
130,yeraliyev,43.2,51.65,8.46,45,41,6.51,KZ,1738844228
131,katabu,-4.9333,122.5167,25.01,89,100,1.58,ID,1738844229
132,ust-nera,64.5667,143.2,-39.5,99,65,1.62,RU,1738844230
133,puerto baquerizo moreno,-0.9,-89.6,23.94,84,10,2.34,EC,1738844231
134,kocarli,37.7611,27.7058,9.99,40,20,6.17,TR,1738844232
135,barcelos,41.5388,-8.6151,12.46,57,100,1.4,PT,1738844233
136,kuala belait,4.5833,114.1833,24.79,92,100,2.54,BN,1738844235
137,ribeira grande,38.5167,-28.7,18.22,88,40,5.81,PT,1738844236
138,cudillero,43.5622,-6.1459,11.51,76,0,4.63,ES,1738844237
139,ataq,14.5377,46.8319,26.46,13,2,8.07,YE,1738844238
140,hawaiian paradise park,19.5933,-154.9731,19.73,99,100,0.0,US,1738844239
141,rikaze,29.25,88.8833,5.08,7,0,3.94,CN,1738844240
142,rio grande,-32.035,-52.0986,26.38,71,47,7.15,BR,1738844241
143,mata-utu,-13.2816,-176.1745,28.74,67,26,4.34,WF,1738844242
144,miri,4.4148,114.0089,25.61,88,100,2.34,MY,1738844059
145,nikolayevsk-on-amure,53.1406,140.73,-4.78,95,100,7.07,RU,1738844244
146,bahia honda,22.9036,-83.1592,18.34,93,5,2.96,CU,1738844245
147,tottori,35.5,134.2333,-0.96,80,40,3.09,JP,1738844216
148,osinovo,55.8809,48.881,-6.63,91,66,2.67,RU,1738844248
149,salamanca,40.8333,-6.0,9.58,44,10,0.87,ES,1738844249
150,carlsbad,33.1581,-117.3506,14.54,95,75,1.54,US,1738844124
151,maloye ganyushkino,46.6,49.2667,3.18,63,37,7.41,KZ,1738844251
152,namibe,-15.1961,12.1522,24.24,83,95,2.05,AO,1738844252
153,sao miguel do araguaia,-13.275,-50.1628,25.17,81,94,2.57,BR,1738844253
154,naivasha,-0.7167,36.4359,23.79,42,86,1.1,KE,1738844190
155,saint-philippe,-21.3585,55.7679,29.27,76,48,3.94,RE,1738844259
156,vilyuchinsk,52.9306,158.4028,-2.85,90,100,2.1,RU,1738844260
157,sidi khaled,34.387,4.9879,14.77,45,100,1.89,DZ,1738844262
158,talnakh,69.4865,88.3972,-20.66,99,100,3.27,RU,1738844263
159,cabo san lucas,22.8909,-109.9124,15.55,70,0,2.12,MX,1738844264
160,vanimo,-2.6741,141.3028,26.1,84,100,0.74,PG,1738844265
161,atafu village,-8.5421,-172.5159,28.77,73,93,7.58,TK,1738844266
162,susuman,62.7833,148.1667,-40.86,97,19,0.28,RU,1738844267
163,sola,-13.8833,167.55,23.37,94,20,0.0,VU,1738844268
164,yellowknife,62.456,-114.3525,-23.71,77,20,6.69,CA,1738844270
165,warmbad,-28.45,18.7333,31.54,27,84,1.75,NA,1738844271
166,izhevsk,56.85,53.2333,-6.0,92,98,1.11,RU,1738844108
167,hamilton,39.1834,-84.5333,7.1,95,100,2.57,US,1738844082
168,birsk,55.4211,55.5428,-7.66,92,31,1.79,RU,1738844277
169,howrah,22.5892,88.3103,26.0,47,0,3.6,IN,1738844278
170,amboasary,-25.0333,46.3833,31.19,64,36,3.49,MG,1738844280
171,santa isabel,-23.3156,-46.2214,26.61,84,98,0.97,BR,1738844281
172,tazovsky,67.4667,78.7,-16.58,98,98,2.15,RU,1738844282
173,nuuk,64.1835,-51.7216,-11.66,56,75,8.23,GL,1738844283
174,bafang,5.1563,10.1788,32.08,18,91,1.54,CM,1738844284
175,vilyuysk,63.7553,121.6247,-38.15,99,17,1.99,RU,1738844288
176,quellon,-43.1167,-73.6167,11.43,77,100,1.53,CL,1738844289
177,kerman,30.2832,57.0788,13.24,20,100,5.54,IR,1738844157
178,petropavlovsk-kamchatsky,53.0452,158.6483,-7.42,87,100,3.54,RU,1738844025
179,minot air force base,48.4209,-101.3391,-20.9,71,20,13.89,US,1738844033
180,as sulayyil,20.4607,45.5779,30.87,5,4,2.57,SA,1738844293
181,rechytsa,52.3617,30.3916,-0.91,59,96,1.58,BY,1738844294
182,vuokatti,64.146,28.2697,-2.37,92,19,1.51,FI,1738844295
183,sanya,18.2431,109.505,22.09,73,0,6.0,CN,1738844296
184,longyearbyen,78.2186,15.6401,-1.09,64,75,9.26,SJ,1738844297
185,zinjibar,13.1287,45.3807,25.51,55,2,5.75,YE,1738844298
186,anna regina,7.2644,-58.5077,24.99,89,99,2.54,GY,1738844299
187,saipan,15.1355,145.701,27.39,82,75,7.72,MP,1738844301
188,moranbah,-22.0016,148.0466,20.78,98,100,7.51,AU,1738844302
189,vorgashor,67.5833,63.95,-9.18,94,100,6.4,RU,1738844303
190,scone,56.4194,-3.4051,7.34,90,2,2.59,GB,1738844304
191,the pinery,39.4553,-104.7344,6.24,49,0,2.57,US,1738844305
192,ulaangom,49.9811,92.0667,-24.65,99,45,1.22,MN,1738844306
193,ujae,8.9322,165.7642,27.14,80,57,9.9,MH,1738844308
194,xianning,29.8833,114.2167,9.82,50,99,1.07,CN,1738844309
195,adrar,20.5022,-10.0711,22.19,14,0,9.99,MR,1738844310
196,vila franca do campo,37.7167,-25.4333,18.27,99,45,3.14,PT,1738844311
197,sorong,-0.8833,131.25,27.21,80,100,2.0,ID,1738844312
198,west island,-12.1568,96.8225,28.99,84,20,8.23,CC,1738844313
199,abbotsford,49.058,-122.2526,-3.92,84,100,3.09,CA,1738844314
200,princeville,45.7668,-61.2985,-14.57,83,20,2.75,CA,1738844315
201,chui,-33.6971,-53.4616,22.73,72,29,4.96,UY,1738844317
202,praia da vitoria,38.7333,-27.0667,19.14,77,75,6.64,PT,1738844318
203,callao,-12.0667,-77.15,24.29,94,40,1.03,PE,1738844319
204,al jawf,29.5,38.75,14.42,31,59,12.49,SA,1738844320
205,viedma,-40.8135,-62.9967,24.71,30,0,6.06,AR,1738844321
206,meadow lake,34.8014,-106.5436,5.37,27,0,2.11,US,1738844322
207,chenzhou,25.8,113.0333,6.71,91,100,2.09,CN,1738844323
208,qaqortoq,60.7167,-46.0333,-19.89,68,70,4.12,GL,1738844324
209,mezhdurechenskiy,59.6,65.9333,-2.8,90,100,2.29,RU,1738844326
210,lebu,-37.6167,-73.65,14.33,78,5,6.69,CL,1738844327
211,aykhal,66.0,111.5,-21.94,100,100,2.22,RU,1738844328
212,jackson,42.4165,-122.8345,1.03,96,100,0.0,US,1738844329
213,takanabe,32.1333,131.5,1.94,67,61,2.34,JP,1738844330
214,kismayo,-0.3582,42.5454,27.51,70,98,8.7,SO,1738844333
215,cadale,2.7603,46.3222,27.33,67,86,10.21,SO,1738844334
216,tofol,5.3248,163.0078,27.55,77,46,6.43,FM,1738844335
217,rosso,16.4986,-15.8153,28.7,9,0,8.31,SN,1738844238
218,muang phon-hong,18.4928,102.4172,23.8,55,25,1.46,LA,1738844338
219,polyarnyy,69.1989,33.4478,-3.11,75,6,8.81,RU,1738844339
220,pontinia,41.4109,13.0441,16.11,66,20,1.03,IT,1738844340
221,freeport,40.6576,-73.5832,1.12,93,100,4.02,US,1738844323
222,caleta de carquin,-11.0925,-77.6267,21.88,84,98,1.35,PE,1738844342
223,uttar char fasson,22.2332,90.7132,23.78,63,38,3.44,BD,1738844344
224,ingeniero guillermo n. juarez,-23.9,-61.85,32.86,37,26,5.94,AR,1738844345
225,mangalia,43.8,28.5833,2.44,57,67,8.15,RO,1738844346
226,opuwo,-18.0607,13.84,26.2,54,97,2.46,NA,1738844347
227,ulladulla,-35.35,150.4667,21.02,89,19,3.24,AU,1738844348
228,garachico,28.7781,-17.7646,18.06,60,75,4.12,ES,1738844349
229,jianguang,28.1938,115.7836,8.08,79,100,2.7,CN,1738844350
230,udalguri,26.7667,92.1333,21.18,53,19,4.37,IN,1738844351
231,westport,41.1415,-73.3579,-1.1,91,100,4.63,US,1738844107
232,la'ie,21.6477,-157.9253,18.92,81,22,3.59,US,1738844353
233,arjawinangun,-6.6453,108.4103,25.56,87,45,3.28,ID,1738844354
234,manokwari,-0.8667,134.0833,26.68,80,84,2.34,ID,1738844355
235,gloria,12.9833,121.4667,24.35,96,88,2.55,PH,1738844356
236,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,100,40,0.51,ID,1738844357
237,churapcha,62.0025,132.4325,-38.76,100,61,1.58,RU,1738844360
238,taoudenni,22.6783,-3.9836,21.53,17,0,9.75,ML,1738844361
239,nizhneudinsk,54.9076,99.0276,-13.34,98,100,0.82,RU,1738844362
240,kyzyl-mazhalyk,51.1333,90.6,-20.44,96,6,0.35,RU,1738844363
241,tomatlan,19.9333,-105.25,16.48,56,0,1.15,MX,1738844364
242,maintirano,-18.0667,44.0167,27.62,76,100,7.48,MG,1738844365
243,katsuura,35.1333,140.3,5.56,60,54,5.33,JP,1738844367
244,harper,4.375,-7.7169,29.51,66,98,2.14,LR,1738844083
245,anantapur,14.6833,77.6,32.66,18,24,6.2,IN,1738844369
246,harstad,68.799,16.5293,6.2,86,100,7.6,NO,1738844370
247,vernon,50.2581,-119.2691,-12.26,85,40,0.51,CA,1738844371
248,ilebo,-4.3167,20.5833,27.48,68,98,0.16,CD,1738844372
249,olyokminsk,60.3736,120.4264,-38.72,100,31,0.16,RU,1738844373
250,la passe,45.5549,-0.8967,7.5,73,81,6.91,FR,1738844375
251,shipunovo,52.1582,82.2173,-14.86,96,46,2.68,RU,1738844377
252,santa terezinha,-29.9002,-50.0904,29.06,64,4,2.2,BR,1738844378
253,iquique,-20.2208,-70.1431,22.67,73,25,1.08,CL,1738843947
254,merritt island,28.5392,-80.672,19.44,94,75,2.06,US,1738844380
255,bamnet narong,15.4992,101.6897,28.22,37,38,1.75,TH,1738844381
256,yunfu,22.9306,112.0373,15.46,53,84,1.02,CN,1738844382
257,santo domingo de los colorados,-0.25,-79.15,20.64,95,93,0.47,EC,1738844383
258,kiama,-34.6833,150.8667,23.65,85,3,2.24,AU,1738844384
259,rio gallegos,-51.6226,-69.2181,9.03,81,40,10.29,AR,1738844385
260,eureka,40.8021,-124.1637,4.79,97,100,2.45,US,1738844386
261,mont-laurier,46.5501,-75.4993,-16.42,96,100,1.44,CA,1738844229
262,fale old settlement,-9.3852,-171.2468,28.06,77,82,6.03,TK,1738844388
263,awjilah,29.1081,21.2869,17.74,37,15,4.42,LY,1738844389
264,san juan nepomuceno,9.9516,-75.082,24.64,64,98,2.4,CO,1738844390
265,midvagur,62.0511,-7.1939,9.46,76,100,10.29,FO,1738844392
266,daru,-9.0763,143.2092,26.14,83,97,0.82,PG,1738844393
267,port saint john's,-31.6229,29.5448,22.14,92,100,0.83,ZA,1738844394
268,kasama,-10.2129,31.1808,18.16,96,100,3.11,ZM,1738844395
269,toliara,-23.35,43.6667,29.95,73,36,4.76,MG,1738844396
270,luba,3.4568,8.5547,28.68,80,98,3.26,GQ,1738844397
271,hauterive,46.0901,3.4459,6.99,56,46,1.56,FR,1738844398
272,tchintabaraden,15.8969,5.7985,32.04,6,54,7.89,NE,1738844400
273,kruisfontein,-34.0033,24.7314,18.5,88,100,3.09,ZA,1738844401
274,acapulco de juarez,16.8634,-99.8901,22.9,78,40,0.0,MX,1738844403
275,lamu,-2.2717,40.902,27.34,73,77,8.85,KE,1738844404
276,chitipa,-9.7024,33.2697,20.86,91,100,2.1,MW,1738844406
277,troitskoye,52.9821,84.6757,-13.88,96,7,2.79,RU,1738844407
278,lerwick,60.1545,-1.1494,8.18,80,91,9.72,GB,1738844408
279,barra de santo antonio,-9.4047,-35.5072,25.6,86,100,3.82,BR,1738844411
280,sept-iles,50.2001,-66.3821,-14.71,66,100,0.51,CA,1738844244
281,longgang,37.6508,120.3286,-1.15,46,31,5.12,CN,1738844413
282,stawell,-37.05,142.7667,22.14,49,0,4.26,AU,1738844414
283,iwanai,42.9744,140.5089,-3.39,87,100,6.52,JP,1738844415
284,fisterra,42.9049,-9.2629,12.41,72,100,5.62,ES,1738844416
285,zaki biam,7.5167,9.6167,38.08,7,81,2.14,NG,1738844417
286,masterton,-40.9597,175.6575,10.6,94,100,0.33,NZ,1738844418
287,sao jose da coroa grande,-8.8978,-35.1478,26.33,83,100,4.05,BR,1738844419
288,belyy yar,53.6039,91.3903,-16.06,85,82,0.0,RU,1738844420
289,walvis bay,-22.9575,14.5053,22.66,65,62,6.11,NA,1738844421
290,itacarambi,-15.1022,-44.0919,25.35,58,0,1.72,BR,1738844422
291,codrington,-38.2667,141.9667,17.08,95,0,2.64,AU,1738844424
292,aldama,22.9167,-98.0667,18.87,97,48,0.95,MX,1738844425
293,new norfolk,-42.7826,147.0587,16.51,95,55,0.77,AU,1738844426
